"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"CSCI","4011","Formal Languages and Automata Theory","Twin Cities","Logical/mathematical foundations of computer science. Formal languages, their correspondence to machine models. Lexical analysis, string matching, parsing. Decidability, undecidability, limits of computability. Computational complexity.

prereq: 2041 ","4","4","No","1","4","OPT - Student Option","013215","Every Fall & Spring"
"CSCI","4041","Algorithms and Data Structures","Twin Cities","Rigorous analysis of algorithms/implementation. Algorithm analysis, sorting algorithms, binary trees, heaps, priority queues, heapsort, balanced binary search trees, hash tables and hashing, graphs, graph traversal, single source shortest path, minimum cost spanning trees.

prereq: [(CSCI 1913 or CSCI 1933 or CSCI 1933H) and CSCI 2011] or Graduate Student Standing","4","4","No","1","4","OPT - Student Option","013954","Every Fall & Spring"
"CSCI","4061","Introduction to Operating Systems","Twin Cities","Processes/threads, process coordination, interprocess communication, asynchronous events, memory management/file systems. Systems programming projects using operating system interfaces and program development tools.

prereq: 2021 or EE 2361; CS upper div, CompE upper div., EE upper div., EE grad, ITI upper div., or dept. permission; no cr for grads in CSci.","4","4","No","1","4","OPT - Student Option","009289","Every Fall & Spring"
"CSCI","4115","User Interface Design and Prototyping","Twin Cities","Provides an introduction to the design, prototyping, and evaluation of user experience with interactive digital systems. Topics include human capabilities and limitations, formative user research, design thinking, interface design and engineering, low- to high-fidelity prototyping, and user experience evaluation. This course is built around a semester-long group project with multiple deliverables milestones.

PreReq: (CSCI 1913 or CSCI 1933 or CSCI 2081) and upper division standing","4","4","No","1","4","OPT - Student Option","013925","Every Fall & Spring"
"CSCI","4131","Internet Programming","Twin Cities","Issues in internet programming. Internet history, architecture/protocols, network programming, Web architecture. Client-server architectures and protocols. Client-side programming, server-side programming, dynamic HTML, Java programming, object-oriented architecture/design, distributed object computing, Web applications.

prereq: [CSCI 1133 OR CSCI 1913] AND CSCI 4061. Cannot be taken for grad CSci cr.","3","3","No","1","3","OPT - Student Option","013025","Every Fall & Spring"
"CSCI","4203","Computer Architecture","Twin Cities","Introduction to computer architecture. Aspects of computer systems, such as pipelining, memory hierarchy, and input/output systems. Performance metrics. Examins each component of a complicated computer system.

prereq: CSCI 2021 ","4","4","No","1","4","OPT - Student Option","013065","Every Fall & Spring"
"CSCI","4211","Introduction to Computer Networks","Twin Cities","Concepts, principles, protocols, and applications of computer networks. Layered network architectures, data link protocols, local area networks, routing, transport, network programming interfaces, networked applications. Examples from Ethernet, Token Ring, TCP/IP, HTTP, WWW.

prereq: CSci 2021 or CSci 3061 or EE 2361","3","3","No","1","3","OPT - Student Option","013023","Every Fall & Spring"
"CSCI","4271W","Development of Secure Software Systems","Twin Cities","Overview of threat modeling and security assessment in the design and development of software systems. Techniques to identify, exploit, detect, mitigate, and prevent software vulnerabilities at the design, coding, application, compiler, operating system, and networking layers. Methods for effectively communicating system designs and vulnerabilities. 

prereq: CSCI 3081W (CSCI 4061 recommended but not required)","4","4","No","1","4","AFV - A-F or Audit","013018","Every Spring"
"CSCI","4481","Computational Techniques for Genomics","Twin Cities","Techniques to analyze biological data generated by DNA sequencing. Algorithms for single/multiple sequence alignments/assembly. Search algorithms for sequence databases, phylogenetic tree construction algorithms. Algorithms for taxonomic annotation. Algorithms for gene/promoter, protein structure, and RNA folding prediction. Ethics in genomics research. Deep learning algorithms for computational biology. Hands-on data analysis projects.

prereq: CSci 3003 or 3041 or 4041","4","4","No","1","4","OPT - Student Option","012977","Every Fall"
"CSCI","4511W","Introduction to Artificial Intelligence","Twin Cities","Agents. Problem-solving using search algorithms. Knowledge representation and inference using formal logic. Knowledge graphs. Planning. Introduction to machine learning. Cannot be taken for grad CSci credit.

co-requisite: CSci 4041","4","4","No","1","4","OPT - Student Option","013047","Every Fall & Spring"
"CSCI","4521","Applied Machine Learning for Computer and Data Scientists","Twin Cities","An introduction to solving problems with machine learning. Applications of linear algebra, statistical models, non-parametric models (such as clustering, KNN), and non-linear/deep regression & classification. Emphasis is on hands-on experience using modern machine learning libraries to work with numerical data, text, and images.

Prereq: (CSCI 1133 and (CSCI 2033 or MATH 2243/2373/2471/2574H))  or (MATH 4242 and (CSCI 2011 or CSCI 3041 or MATH 2283/2283W))","3","3","No","1","3","OPT - Student Option","013038","Every Fall & Spring"
"CSCI","4541","Introduction to Natural Language Processing","Twin Cities","The purpose of this course is to provide an introduction to the computational techniques developed to enable computers to interpret and respond appropriately to ideas expressed using natural languages, rather than formal languages, such as C++ or Python. This course will cover text classification, distributional representation methods of language and statistical language models. The course will cover a wide range of topics related to NLP, including theories, computational models, and applications with their societal and ethical impacts.

Prereq: CSci 4041","4","4","No","1","4","OPT - Student Option","012972","Every Fall & Summer"
"CSCI","4551","Introduction to Computational Robotics","Twin Cities","An introductory undergraduate course in robotics that focuses on foundational skills, conceptual understanding, and simulation-based learning, focusing on the sense-plan-act model of robotics. This course will cover the basics of sensors and perception, simple decision-making algorithms and basic state estimation techniques, fundamentals of robot kinematics and control, and how robots execute actions based on sensor inputs and their decision-making processes.","4","4","No","1","4","OPT - Student Option","013413","Every Spring"
"CSCI","4611","Programming Interactive Computer Graphics and Games","Twin Cities","Tools/techniques for programming games/interactive computer graphics. Event loops, rendering/animation, polygonal models, texturing, physical simulation. Modern graphics toolkits. History/future of computer games technology. Social impact of interactive computer graphics.


prereq: coreq CSci 2033 and (CSci 2041 or CSci 2081 or CSci 3081W)","3","3","No","1","3","OPT - Student Option","013024","Every Spring"
"CSCI","4707","Practice of Database Systems","Twin Cities","Concepts, conceptual data models, case studies, common data manipulation languages, logical data models, database design, facilities for database security/integrity, applications.

prereq: none","3","3","No","1","3","OPT - Student Option","-","Every Fall & Spring"
"CSCI","4801","Software Development Process","Twin Cities","Introduction to software development processes. Software life cycle, development models, software requirements analysis, software design, coding, testing and maintenance.","4","4","No","1","4","OPT - Student Option","013498","Every Fall & Spring"
"CSCI","4821","GenAI for Software Engineering","Twin Cities","An introduction to the applications of generative AI in software engineering, combining theoretical foundations with practical experience. Topics include AI-assisted requirements analysis, design, coding, testing, and maintenance. Students gain practical experience with contemporary tools and learn their impact on software engineering practice.

prereq:  CSCI 2081or CSCI 3081W or Instructor Consent.","3","3","No","1","3","OPT - Student Option","013885","Every Fall & Spring"
"CSCI","4921","History of Computing","Twin Cities","Developments in last 150 years; evolution of hardware and software; growth of computer and semiconductor industries and their relation to other businesses; changing relationships resulting from new data-gathering and analysis techniques; automation; social and ethical issues.  ","3","3","No","1","3","OPT - Student Option","-","Fall Even Year"
"CSCI","4950","Senior Software Project","Twin Cities","Student teams develop a software system, distribute system to users, and extend/maintain it in response to their needs.  Software engineering techniques. Software development, team participation, leadership.

prereq: Upper div CSci, instr consent","3","3","Yes","2","6","A-F - A-F Grade Basis","-","Every Fall & Spring"
"CSCI","4970W","Advanced Project Laboratory","Twin Cities","Formulate and solve open-ended project: design, implement, interface, document, test. Team work strongly encouraged. Arranged with CSci faculty.

prereq: Upper div CSci, 4061, instr consent; cannot be taken for grad cr","3","3","Yes","3","9","OPT - Student Option","-","Every Fall & Spring"
"CSCI","4980","Special Topics in Computer Science for Undergraduates","Twin Cities","Lectures and informal discussions on current topics in computer science.

prereq: Undergrad, instr consent; no cr for grads in [CSci or CompE]","1","3","Yes","9","9","AFV - A-F or Audit","-","Periodic Fall & Spring"
"CSCI","4994H","Honors Thesis","Twin Cities","Research work for an honors thesis arranged with a CS faculty member who is the adviser or coadviser.

prereq: Honors student, instr consent","1","3","Yes","2","6","A-F - A-F Grade Basis","-","Every Fall, Spring & Summer"
"CSCI","5103","Operating Systems","Twin Cities","Conceptual foundation of operating system design and implementation. Operating system internals including OS structures and algorithms, and their relationship to machine architecture. Real-world OS implementation mechanisms as examples.

prereq: CSCI 4061 or graduate standing","3","3","No","1","3","OPT - Student Option","013072","Every Fall"
